# Region type : patch inlet
# Faces  :    50
# Area   :    6.925639e-02
# Time        	sum(rhoPhi)
0             	-6.925639e+00
0.0119048     	-6.925639e+00
0.0260204     	-6.925639e+00
0.0341369     	-6.925639e+00
0.0436062     	-6.925639e+00
0.0543521     	-6.925639e+00
0.0660268     	-6.925639e+00
0.0797617     	-6.925639e+00
0.095359      	-6.925639e+00
0.112756      	-6.925639e+00
0.132044      	-6.925639e+00
0.150511      	-6.925639e+00
0.170737      	-6.925639e+00
0.190481      	-6.925639e+00
0.211238      	-6.925639e+00
0.233148      	-6.925639e+00
0.256386      	-6.925639e+00
0.282028      	-6.925639e+00
0.30767       	-6.925639e+00
0.331543      	-6.925639e+00
0.352433      	-6.925639e+00
0.374762      	-6.925639e+00
0.399772      	-6.925639e+00
0.428354      	-6.925639e+00
0.460112      	-6.925639e+00
0.49187       	-6.925639e+00
0.513963      	-6.925639e+00
0.534215      	-6.925639e+00
0.556395      	-6.925639e+00
0.578575      	-6.925639e+00
0.600755      	-6.925639e+00
0.621768      	-6.925639e+00
0.644017      	-6.925639e+00
0.667749      	-6.925639e+00
0.693307      	-6.925639e+00
0.721188      	-6.925639e+00
0.752167      	-6.925639e+00
0.783146      	-6.925639e+00
0.814126      	-6.925639e+00
0.845105      	-6.925639e+00
0.876084      	-6.925639e+00
0.900867      	-6.925639e+00
0.92565       	-6.925639e+00
0.950433      	-6.925639e+00
0.975217      	-6.925639e+00
1             	-6.925639e+00
1.02778       	-6.925639e+00
1.05914       	-6.925639e+00
1.09399       	-6.925639e+00
1.11987       	-6.925639e+00
1.14576       	-6.925639e+00
1.17164       	-6.925639e+00
1.19753       	-6.925639e+00
1.22342       	-6.925639e+00
1.2502        	-6.925639e+00
1.27797       	-6.925639e+00
1.30685       	-6.925639e+00
1.33835       	-6.925639e+00
1.37144       	-6.925639e+00
1.40841       	-6.925639e+00
1.44785       	-6.925639e+00
1.49032       	-6.925639e+00
1.5243        	-6.925639e+00
1.56089       	-6.925639e+00
1.60081       	-6.925639e+00
1.64517       	-6.925639e+00
1.68459       	-6.925639e+00
1.72402       	-6.925639e+00
1.75852       	-6.925639e+00
1.7887        	-6.925639e+00
1.81889       	-6.925639e+00
1.84907       	-6.925639e+00
1.87926       	-6.925639e+00
1.90944       	-6.925639e+00
1.93963       	-6.925639e+00
1.96981       	-6.925639e+00
2             	-6.925639e+00
2.03333       	-6.925639e+00
2.06914       	-6.925639e+00
2.10792       	-6.925639e+00
2.14847       	-6.925639e+00
2.18902       	-6.925639e+00
2.22764       	-6.925639e+00
2.26626       	-6.925639e+00
2.30487       	-6.925639e+00
2.33963       	-6.925639e+00
2.37848       	-6.925639e+00
2.41991       	-6.925639e+00
2.46135       	-6.925639e+00
2.50623       	-6.925639e+00
