# Region type : patch atmosphere
# Faces  :    173
# Area   :    7.800317e-01
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.0119048     	6.796477e-03
0.0260204     	6.738008e-03
0.0299477     	6.709044e-03
0.0328262     	6.797072e-03
0.0347189     	6.793986e-03
0.0366006     	6.797035e-03
0.0379405     	6.799835e-03
0.0385814     	6.802812e-03
0.0389323     	6.804596e-03
0.0391362     	6.806951e-03
0.0392425     	6.768765e-03
0.0392918     	6.835626e-03
0.0393147     	6.734214e-03
0.0393261     	6.667020e-03
0.0393321     	6.546272e-03
0.0393354     	6.327163e-03
0.0393371     	8.174034e-03
0.0393379     	9.446313e-03
0.0393384     	1.203519e-02
0.0393386     	1.948828e-04
0.0393387     	-6.224439e-03
0.0393388     	-1.858287e-02
0.0393388     	-4.238254e-02
0.0393388     	-8.858122e-02
0.0393388     	-1.789100e-01
0.0393388     	-3.559372e-01
0.0393388     	-7.020897e-01
0.0393388     	-1.376222e+00
0.0393388     	-2.685996e+00
0.0393388     	-5.230916e+00
0.0393388     	-1.018275e+01
0.0393388     	-1.983089e+01
0.0393388     	-3.863761e+01
0.0393388     	-7.527801e+01
0.0393388     	-1.466110e+02
0.0393388     	-2.854256e+02
0.0393388     	-5.555657e+02
0.0393388     	-1.081417e+03
0.0393388     	-2.105274e+03
0.0393388     	-4.098898e+03
0.0393388     	-7.980447e+03
0.0393388     	-1.553678e+04
0.0393388     	-3.024580e+04
0.0393388     	-5.887832e+04
0.0393388     	-1.146171e+05
0.0393388     	-2.231278e+05
0.0393388     	-4.343758e+05
0.0393388     	-8.456257e+05
0.0393388     	-1.646206e+06
0.0393388     	-3.204699e+06
0.0393388     	-6.238582e+06
0.0393388     	-1.214469e+07
0.0393388     	-2.364224e+07
0.0393388     	-4.602479e+07
0.0393388     	-8.959745e+07
0.0393388     	-1.744205e+08
0.0393388     	-3.395469e+08
0.0393388     	-6.609991e+08
0.0393388     	-1.286773e+09
0.0393388     	-2.504978e+09
0.0393388     	-4.876471e+09
0.0393388     	-9.493095e+09
0.0393388     	-1.848032e+10
0.0393388     	-3.597592e+10
0.0393388     	-7.003457e+10
0.0393388     	-1.363375e+11
0.0393388     	-2.654092e+11
0.0393388     	-5.166769e+11
0.0393388     	-1.005819e+12
0.0393388     	-1.958045e+12
0.0393388     	-3.811744e+12
0.0393388     	-7.420395e+12
0.0393388     	-1.444532e+13
0.0393388     	-2.812102e+13
0.0393388     	-5.474337e+13
0.0393388     	-1.065699e+14
0.0393388     	-2.074606e+14
0.0393388     	-4.038675e+14
0.0393388     	-7.862129e+14
0.0393388     	-1.530535e+15
0.0393388     	-2.979506e+15
0.0393388     	-5.800260e+15
0.0393388     	-1.129144e+16
0.0393388     	-2.198120e+16
0.0393388     	-4.279114e+16
0.0393388     	-8.330211e+16
0.0393388     	-1.621656e+17
0.0393388     	-3.156898e+17
0.0393388     	-6.145592e+17
0.0393388     	-1.196369e+18
0.0393388     	-2.328995e+18
0.0393388     	-4.533882e+18
0.0393388     	-8.826194e+18
0.0393388     	-1.718206e+19
0.0393388     	-3.344864e+19
0.0393388     	-6.511491e+19
0.0393388     	-1.267604e+20
0.0393388     	-2.467662e+20
0.0393388     	-4.803842e+20
0.0393388     	-9.351714e+20
0.0393388     	-1.820513e+21
0.0393388     	-3.544024e+21
0.0393388     	-6.899213e+21
0.0393388     	-1.343080e+22
