# Region type : patch inlet
# Faces  :    27
# Area   :    6.796480e-02
# Time        	sum(rhoPhi)
0             	-6.796480e+00
0.0119048     	-6.796480e+00
0.0260204     	-6.796480e+00
0.0299477     	-6.796480e+00
0.0328262     	-6.796480e+00
0.0347189     	-6.796480e+00
0.0366006     	-6.796480e+00
0.0379405     	-6.796480e+00
0.0385814     	-6.796480e+00
0.0389323     	-6.796480e+00
0.0391362     	-6.796480e+00
0.0392425     	-6.796480e+00
0.0392918     	-6.796480e+00
0.0393147     	-6.796480e+00
0.0393261     	-6.796480e+00
0.0393321     	-6.796480e+00
0.0393354     	-6.796480e+00
0.0393371     	-6.796480e+00
0.0393379     	-6.796480e+00
0.0393384     	-6.796480e+00
0.0393386     	-6.796480e+00
0.0393387     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
0.0393388     	-6.796480e+00
