# Region type : patch atmosphere
# Faces  :    173
# Area   :    7.800317e-01
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.0119048     	6.925637e-03
0.0260204     	6.900848e-03
0.0341369     	6.896590e-03
0.0436062     	6.931974e-03
0.0543521     	6.917062e-03
0.0660268     	6.922926e-03
0.0797617     	6.920536e-03
0.095359      	6.914966e-03
0.112756      	6.908802e-03
0.132044      	6.914596e-03
0.150511      	6.930779e-03
0.170737      	6.946890e-03
0.190481      	6.917274e-03
0.211238      	6.918886e-03
0.233148      	6.906234e-03
0.256386      	6.918928e-03
0.282028      	6.901905e-03
0.30767       	6.909058e-03
0.331543      	6.952531e-03
0.352433      	6.920302e-03
0.374762      	6.920978e-03
0.399772      	6.952390e-03
0.428354      	7.104385e-03
0.460112      	7.795598e-03
0.49187       	9.337838e-03
0.513963      	1.132792e-02
0.534215      	1.743388e-02
0.556395      	2.304964e-02
0.578575      	2.559300e-02
0.600755      	2.756746e-02
0.621768      	2.685842e-02
0.644017      	2.532476e-02
0.667749      	2.469270e-02
0.693307      	2.367604e-02
0.721188      	2.054571e-02
0.752167      	1.718881e-02
0.783146      	1.457921e-02
0.814126      	1.227311e-02
0.845105      	1.051216e-02
0.876084      	9.417338e-03
0.900867      	8.769185e-03
0.92565       	8.360247e-03
0.950433      	8.238238e-03
0.975217      	8.042826e-03
1             	7.773614e-03
1.02778       	7.477838e-03
1.05914       	7.308953e-03
1.09399       	7.171267e-03
1.11987       	7.100321e-03
1.14576       	7.058537e-03
1.17164       	7.022459e-03
1.19753       	7.016748e-03
1.22342       	6.997653e-03
1.2502        	6.984787e-03
1.27797       	6.978051e-03
1.30685       	6.973862e-03
1.33835       	6.967315e-03
1.37144       	6.964220e-03
1.40841       	6.930768e-03
1.44785       	6.947949e-03
1.49032       	6.916506e-03
1.5243        	6.926973e-03
1.56089       	6.898927e-03
1.60081       	6.958400e-03
1.64517       	6.957807e-03
1.68459       	6.910699e-03
1.72402       	6.911010e-03
1.75852       	6.910305e-03
1.7887        	6.902512e-03
1.81889       	6.910838e-03
1.84907       	6.929116e-03
1.87926       	6.954380e-03
1.90944       	6.950455e-03
1.93963       	6.899281e-03
1.96981       	6.896564e-03
2             	6.916169e-03
2.03333       	6.955434e-03
2.06914       	6.942893e-03
2.10792       	6.962448e-03
2.14847       	6.945370e-03
2.18902       	6.905551e-03
2.22764       	6.901905e-03
2.26626       	6.963600e-03
2.30487       	6.901171e-03
2.33963       	6.953324e-03
2.37848       	6.893341e-03
2.41991       	6.897106e-03
2.46135       	6.919586e-03
2.50623       	6.954889e-03
