# Region type : patch outlet
# Faces  :    27
# Area   :    6.796480e-02
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.0119048     	0.000000e+00
0.0260204     	-4.185653e-07
0.0299477     	-7.372562e-06
0.0328262     	-1.716132e-06
0.0347189     	1.950266e-06
0.0366006     	3.646791e-06
0.0379405     	4.881645e-06
0.0385814     	5.471015e-06
0.0389323     	6.074937e-06
0.0391362     	6.369052e-06
0.0392425     	6.587055e-06
0.0392918     	6.496418e-06
0.0393147     	6.091906e-06
0.0393261     	5.684180e-06
0.0393321     	6.956114e-06
0.0393354     	3.992883e-06
0.0393371     	3.823156e-06
0.0393379     	-1.114157e-05
0.0393384     	-2.315637e-06
0.0393386     	-5.423987e-05
0.0393387     	-2.425974e-05
0.0393388     	-1.895974e-04
0.0393388     	-7.585125e-05
0.0393388     	-7.704848e-04
0.0393388     	-3.124715e-04
0.0393388     	-3.059318e-03
0.0393388     	-1.205230e-03
0.0393388     	-1.072397e-02
0.0393388     	-5.768678e-03
0.0393388     	-3.527831e-02
0.0393388     	-3.139268e-02
0.0393388     	-1.114926e-01
0.0393388     	-1.660302e-01
0.0393388     	-3.765535e-01
0.0393388     	-7.178934e-01
0.0393388     	-1.314122e+00
0.0393388     	-2.923127e+00
0.0393388     	-4.985209e+00
0.0393388     	-1.063784e+01
0.0393388     	-1.895186e+01
0.0393388     	-4.201154e+01
0.0393388     	-7.179953e+01
0.0393388     	-1.461074e+02
0.0393388     	-2.973979e+02
0.0393388     	-5.542303e+02
0.0393388     	-1.086483e+03
0.0393388     	-2.180953e+03
0.0393388     	-3.242950e+03
0.0393388     	-9.962116e+03
0.0393388     	-1.084046e+04
0.0393388     	-3.380262e+04
0.0393388     	-5.429411e+04
0.0393388     	-1.135432e+05
0.0393388     	-2.344137e+05
0.0393388     	-3.751951e+05
0.0393388     	-9.961814e+05
0.0393388     	-1.423202e+06
0.0393388     	-2.953194e+06
0.0393388     	-6.584088e+06
0.0393388     	-1.199331e+07
0.0393388     	-2.496094e+07
0.0393388     	-4.546073e+07
0.0393388     	-9.461876e+07
0.0393388     	-1.322924e+08
0.0393388     	-4.362677e+08
0.0393388     	-5.020585e+08
0.0393388     	-1.653501e+09
0.0393388     	-1.903143e+09
0.0393388     	-5.940598e+09
0.0393388     	-7.852236e+09
0.0393388     	-2.252675e+10
0.0393388     	-2.069637e+10
0.0393388     	-1.029086e+11
0.0393388     	-7.258988e+10
0.0393388     	-3.405423e+11
0.0393388     	-3.938413e+11
0.0393388     	-1.292226e+12
0.0393388     	-1.492661e+12
0.0393388     	-4.409716e+12
0.0393388     	-5.655160e+12
0.0393388     	-1.814882e+13
0.0393388     	-2.226261e+13
0.0393388     	-5.398049e+13
0.0393388     	-1.132489e+14
0.0393388     	-2.049283e+14
0.0393388     	-4.291777e+14
0.0393388     	-6.861005e+14
0.0393388     	-1.802629e+15
0.0393388     	-2.356148e+15
0.0393388     	-7.308364e+15
0.0393388     	-8.934955e+15
0.0393388     	-2.588661e+16
0.0393388     	-3.552363e+16
0.0393388     	-1.017972e+17
0.0393388     	-1.346803e+17
0.0393388     	-3.645597e+17
0.0393388     	-5.518780e+17
0.0393388     	-1.327633e+18
0.0393388     	-2.198159e+18
0.0393388     	-4.613841e+18
0.0393388     	-9.146884e+18
0.0393388     	-1.749678e+19
0.0393388     	-3.150423e+19
0.0393388     	-7.245523e+19
