# Region type : patch outlet
# Faces  :    48
# Area   :    6.925667e-02
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.0119048     	0.000000e+00
0.0260204     	-3.216974e-06
0.0341369     	4.441189e-07
0.0436062     	-8.101455e-07
0.0543521     	5.100242e-06
0.0660268     	6.701173e-06
0.0797617     	8.632545e-06
0.095359      	8.876863e-06
0.112756      	9.967450e-06
0.132044      	9.696532e-06
0.150511      	1.139077e-05
0.170737      	1.169748e-05
0.190481      	1.332642e-05
0.211238      	1.368349e-05
0.233148      	1.475194e-05
0.256386      	1.568503e-05
0.282028      	1.744832e-05
0.30767       	1.774927e-05
0.331543      	1.951693e-05
0.352433      	1.990057e-05
0.374762      	2.137629e-05
0.399772      	2.255041e-05
0.428354      	2.432510e-05
0.460112      	2.571615e-05
0.49187       	2.863126e-05
0.513963      	3.129682e-05
0.534215      	3.293580e-05
0.556395      	3.772965e-05
0.578575      	3.928852e-05
0.600755      	4.253546e-05
0.621768      	4.375104e-05
0.644017      	4.829101e-05
0.667749      	5.054516e-05
0.693307      	5.796126e-05
0.721188      	6.092222e-05
0.752167      	6.703181e-05
0.783146      	7.154954e-05
0.814126      	8.292387e-05
0.845105      	8.786732e-05
0.876084      	9.600245e-05
0.900867      	9.935256e-05
0.92565       	1.102088e-04
0.950433      	1.147411e-04
0.975217      	1.336608e-04
1             	1.379541e-04
1.02778       	1.510311e-04
1.05914       	1.532302e-04
1.09399       	1.659186e-04
1.11987       	1.697226e-04
1.14576       	1.883203e-04
1.17164       	2.024829e-04
1.19753       	2.137682e-04
1.22342       	2.218213e-04
1.2502        	2.319989e-04
1.27797       	2.467292e-04
1.30685       	2.555269e-04
1.33835       	2.786939e-04
1.37144       	2.852891e-04
1.40841       	3.026725e-04
1.44785       	3.091798e-04
1.49032       	3.247567e-04
1.5243        	3.368461e-04
1.56089       	3.559369e-04
1.60081       	3.653330e-04
1.64517       	3.723193e-04
1.68459       	3.845273e-04
1.72402       	3.939496e-04
1.75852       	4.024681e-04
1.7887        	4.138419e-04
1.81889       	4.277105e-04
1.84907       	4.508523e-04
1.87926       	4.805857e-04
1.90944       	5.046232e-04
1.93963       	5.217429e-04
1.96981       	5.329717e-04
2             	5.598429e-04
2.03333       	5.641307e-04
2.06914       	5.867340e-04
2.10792       	5.906999e-04
2.14847       	6.183589e-04
2.18902       	6.235201e-04
2.22764       	6.454231e-04
2.26626       	6.621593e-04
2.30487       	6.855452e-04
2.33963       	6.984822e-04
2.37848       	7.191278e-04
2.41991       	7.293283e-04
2.46135       	7.675436e-04
2.50623       	7.842129e-04
