# Region type : patch atmosphere
# Faces  :    4381
# Area   :    2.582135e+05
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.1           	3.000000e+01
0.2           	2.999810e+01
0.3           	3.000444e+01
0.4           	3.000537e+01
0.5           	3.000164e+01
0.6           	3.000102e+01
0.7           	3.000084e+01
0.8           	3.000069e+01
0.9           	3.000064e+01
1             	3.000061e+01
1.1           	3.000062e+01
1.2           	3.000091e+01
1.3           	3.000135e+01
1.4           	3.000144e+01
1.5           	3.000078e+01
1.6           	2.999871e+01
1.7           	2.999429e+01
1.8           	2.998871e+01
1.9           	2.999537e+01
2             	2.999225e+01
2.09091       	2.999789e+01
2.18182       	3.000281e+01
2.26364       	2.999865e+01
2.34545       	2.999487e+01
2.42727       	3.000136e+01
2.50909       	3.000083e+01
2.59091       	2.999985e+01
2.67273       	3.000233e+01
2.75455       	3.000119e+01
2.83636       	3.000034e+01
2.91818       	3.000101e+01
3             	3.000073e+01
3.09091       	3.000072e+01
3.19192       	3.000050e+01
3.29293       	3.000031e+01
3.39394       	3.000040e+01
3.49495       	3.000021e+01
3.59596       	2.999997e+01
3.69697       	2.999996e+01
3.79798       	3.000002e+01
3.89899       	2.999999e+01
4             	2.999991e+01
4.1           	2.999996e+01
4.2           	2.999999e+01
4.3           	2.999994e+01
4.4           	3.000005e+01
4.5           	3.000003e+01
4.6           	3.000008e+01
4.7           	3.000014e+01
4.8           	3.000028e+01
4.9           	3.000019e+01
5             	3.000020e+01
5.1           	3.000036e+01
5.2           	3.000039e+01
5.3           	3.000007e+01
5.4           	3.000055e+01
5.5           	3.000015e+01
5.6           	3.000054e+01
5.7           	3.000053e+01
5.8           	3.000021e+01
5.9           	3.000041e+01
6             	3.000052e+01
6.1           	3.000043e+01
6.2           	3.000031e+01
6.3           	3.000041e+01
6.4           	3.000031e+01
6.5           	3.000043e+01
6.6           	3.000029e+01
6.7           	3.000000e+01
6.8           	3.000052e+01
6.9           	3.000045e+01
7             	2.999956e+01
7.1           	2.999994e+01
7.2           	3.000090e+01
7.3           	3.000005e+01
7.4           	2.999972e+01
7.5           	3.000000e+01
7.6           	3.000022e+01
7.7           	3.000017e+01
7.8           	2.999997e+01
7.9           	3.000020e+01
8             	3.000020e+01
8.1           	2.999997e+01
8.2           	3.000010e+01
8.3           	3.000014e+01
8.4           	2.999992e+01
8.5           	3.000009e+01
8.6           	2.999996e+01
8.7           	3.000005e+01
8.8           	2.999997e+01
8.9           	2.999998e+01
9             	2.999994e+01
9.1           	3.000001e+01
9.2           	3.000003e+01
9.3           	3.000013e+01
9.4           	2.999984e+01
9.5           	3.000006e+01
9.6           	3.000014e+01
9.7           	3.000016e+01
9.8           	3.000016e+01
9.9           	3.000008e+01
10            	3.000027e+01
