# Region type : patch atmosphere
# Faces  :    4043
# Area   :    2.567144e+05
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.119048      	1.499999e+00
0.260204      	1.500033e+00
0.428132      	1.500276e+00
0.627546      	1.503131e+00
0.861857      	1.558663e+00
1.13877       	2.030549e+00
1.46696       	3.262530e+00
1.85483       	6.063573e+00
2.30734       	7.277342e+00
2.82018       	6.622146e+00
3.4185        	7.766826e+00
4.07665       	6.180749e+00
4.81707       	6.963241e+00
5.55749       	3.607632e+02
6.44599       	1.083130e+01
7.33449       	1.641166e+01
8.223         	5.094905e+01
9.1115        	1.608575e+02
10            	6.320676e+01
10.9091       	3.569042e+01
11.8182       	1.050439e+02
12.7273       	1.081924e+02
13.5354       	1.058833e+02
14.4589       	1.688289e+02
15.3824       	7.568814e+01
16.3059       	1.219708e+02
16.9216       	9.206675e+01
17.5373       	1.041952e+02
18.153        	5.477240e+01
18.7686       	6.399282e+01
19.3843       	7.467683e+01
20            	6.116954e+01
20.7143       	6.670443e+01
21.5584       	7.641796e+01
22.4964       	8.990377e+01
23.4343       	9.410255e+01
24.3723       	1.031793e+02
25.3102       	1.321679e+02
26.2482       	2.233470e+02
27.1861       	2.435562e+02
28.1241       	2.116811e+02
29.062        	1.813967e+02
30            	2.980127e+02
31            	2.289394e+02
32            	2.709442e+02
33            	2.557983e+02
33.875        	2.403121e+02
34.75         	2.376844e+02
35.625        	2.107721e+02
36.5          	2.030792e+02
37.2          	1.948891e+02
37.9          	1.741021e+02
38.6          	2.542087e+02
39.3          	3.861532e+02
40            	4.865130e+02
40.7692       	5.125261e+02
41.3122       	4.408418e+02
41.9328       	4.803378e+02
42.6662       	5.199084e+02
43.481        	5.396589e+02
44.4123       	6.783483e+02
45.3436       	6.362285e+02
46.1197       	5.265791e+02
46.8957       	4.814821e+02
47.6718       	4.394912e+02
48.4479       	3.309671e+02
49.2239       	3.033500e+02
50            	5.423226e+02
50.8333       	4.312301e+02
51.75         	4.779071e+02
52.575        	5.776205e+02
53.25         	4.829873e+02
54            	3.961541e+02
54.8571       	3.663984e+02
55.7143       	3.535736e+02
56.1039       	3.029322e+02
56.5368       	3.550414e+02
56.9697       	3.008756e+02
57.4747       	2.494764e+02
57.8956       	2.072004e+02
58.3165       	1.620982e+02
58.7374       	1.538472e+02
59.1582       	1.564331e+02
59.5791       	1.713245e+02
60            	1.659124e+02
60.5          	1.857505e+02
61.0938       	1.966829e+02
61.7788       	1.993935e+02
62.5262       	2.705861e+02
63.149        	3.210071e+02
63.8341       	4.743689e+02
64.6049       	3.685422e+02
65.5041       	3.977591e+02
66.2534       	2.563347e+02
67.0027       	2.789282e+02
67.752        	3.196816e+02
68.5014       	3.134217e+02
69.2507       	3.674721e+02
70            	4.512109e+02
70.6667       	4.971678e+02
71.4444       	4.913470e+02
72.3          	3.635126e+02
73            	3.173027e+02
73.7778       	3.012300e+02
74.2963       	2.677514e+02
74.8667       	2.790468e+02
75.1875       	2.736740e+02
75.5577       	2.492105e+02
76.0019       	2.191878e+02
76.5017       	1.909575e+02
77.0847       	1.738194e+02
77.5706       	1.961846e+02
78.0565       	2.381234e+02
78.5424       	2.717263e+02
79.0282       	4.967978e+02
79.5141       	5.504030e+02
80            	6.033153e+02
80.2222       	3.812591e+02
80.4865       	3.623155e+02
80.8036       	3.534235e+02
81.1715       	3.303037e+02
81.6129       	3.227695e+02
82.1371       	3.786378e+02
82.7419       	5.106119e+02
83.4017       	6.002699e+02
84.1349       	6.212337e+02
84.9728       	4.730335e+02
85.4298       	3.720650e+02
85.9376       	3.023059e+02
86.5179       	2.500917e+02
87.0154       	2.152207e+02
87.5128       	2.688180e+02
87.7201       	3.505613e+02
87.9481       	4.199894e+02
88.2046       	6.048356e+02
88.5038       	7.101159e+02
88.803        	6.583168e+02
89.1023       	5.766890e+02
89.4015       	4.984508e+02
89.7008       	4.711768e+02
90            	4.679541e+02
90.3571       	4.810979e+02
90.7764       	5.443322e+02
91.2619       	4.995986e+02
91.8444       	4.579191e+02
92.524        	3.668335e+02
93.2716       	2.954755e+02
94.1127       	2.984659e+02
94.8486       	2.717840e+02
95.7072       	3.170874e+02
96.5657       	2.906394e+02
97.4243       	2.572708e+02
98.2829       	2.222574e+02
99.1414       	2.038374e+02
99.5707       	1.975029e+02
100           	1.888968e+02
