# Region type : patch inlet
# Faces  :    100
# Area   :    7.821723e-01
# Time        	sum(rhoPhi)
0             	0.000000e+00
1             	0.000000e+00
2             	0.000000e+00
3             	1.825173e-15
4             	1.582368e-14
5             	2.291201e-14
6             	2.516526e-14
7             	1.351373e-14
8             	2.346959e-15
9             	6.957198e-15
10            	6.916105e-15
11            	2.383405e-14
12            	2.545062e-14
13            	4.300913e-14
14            	2.971763e-14
15            	1.177603e-13
16            	5.067611e-13
17            	3.389203e-12
18            	1.440009e-12
19            	-3.619473e-12
20            	1.220319e-12
21            	5.694923e-12
22            	-1.697678e-13
23            	8.809058e-12
24            	1.530115e-11
25            	3.505935e-12
26            	1.050092e-11
27            	1.877658e-11
28            	2.790642e-11
29            	2.237448e-11
30            	3.496749e-11
31            	2.778447e-11
32            	3.684695e-11
33            	4.764651e-11
34            	5.437283e-11
35            	6.350039e-11
36            	9.139387e-11
37            	8.137695e-11
38            	1.589230e-10
39            	1.625657e-10
40            	2.005919e-10
41            	1.392538e-10
42            	1.873871e-10
43            	1.608531e-10
44            	2.221804e-10
45            	2.453413e-10
46            	1.782372e-10
47            	2.961924e-10
48            	3.393591e-10
49            	4.083169e-10
50            	2.751905e-10
51            	4.245698e-10
52            	2.317939e-10
53            	4.059964e-10
54            	3.693149e-10
55            	3.253744e-10
56            	3.529051e-10
57            	2.131348e-10
58            	8.637788e-11
59            	-3.661999e-11
60            	-1.098985e-10
61            	-2.066162e-10
62            	-3.586023e-10
63            	-4.117589e-10
64            	-5.638021e-10
65            	-5.419292e-10
66            	-4.701700e-10
67            	-5.516622e-10
68            	-6.152430e-10
69            	-5.512239e-10
70            	-6.884653e-10
71            	-5.263521e-10
72            	-4.259405e-10
73            	-6.038585e-10
74            	-3.853219e-10
75            	-5.376160e-10
76            	-4.335038e-10
77            	-2.287333e-10
78            	-1.644638e-10
79            	7.034769e-12
80            	6.824576e-11
81            	2.009318e-10
82            	2.109738e-10
83            	1.269940e-10
84            	2.661598e-10
85            	1.180760e-10
86            	2.891527e-10
87            	2.372798e-10
88            	2.417652e-10
89            	3.487869e-10
90            	2.072931e-10
91            	1.036513e-10
92            	2.467548e-10
93            	6.820237e-11
94            	3.160859e-11
95            	-5.419253e-11
96            	-1.659945e-11
97            	-1.116642e-10
98            	-1.660873e-10
99            	-1.704633e-10
100           	-6.819407e-11
101           	1.257621e-11
102           	6.353904e-11
103           	2.146526e-10
104           	1.886264e-11
105           	1.050454e-10
106           	7.567810e-11
107           	1.377453e-10
108           	1.743231e-11
109           	1.152587e-10
110           	-2.084746e-11
111           	1.106172e-10
112           	2.136834e-10
113           	1.335699e-10
114           	3.558458e-10
115           	3.188338e-10
116           	2.673234e-10
117           	4.171374e-10
118           	1.977953e-10
119           	3.644468e-10
120           	2.768814e-10
121           	2.403489e-10
122           	2.518702e-10
123           	3.114685e-10
124           	1.666870e-10
125           	1.402553e-10
126           	1.774229e-11
127           	-6.149779e-11
128           	2.703181e-11
129           	-7.689026e-11
130           	-2.051024e-10
131           	-2.334366e-10
132           	-1.532032e-10
133           	-3.076166e-10
134           	-1.769717e-10
135           	-7.135429e-11
136           	3.652433e-11
137           	-2.311486e-10
138           	-4.425251e-10
139           	-3.772135e-10
140           	-2.054252e-10
141           	-3.531524e-10
142           	-1.698918e-10
143           	-2.728368e-10
144           	-2.563457e-10
145           	-3.477608e-10
146           	-2.845411e-10
147           	-8.485207e-11
148           	-1.330292e-10
149           	-2.744050e-10
150           	-2.058950e-10
151           	-1.033697e-10
152           	-5.925457e-11
153           	-1.136850e-10
154           	-2.079235e-10
155           	-2.964696e-10
156           	-3.106253e-10
157           	-5.446670e-10
158           	-6.955436e-10
159           	-5.652156e-10
160           	-7.412716e-10
161           	-9.176905e-10
162           	-6.193314e-10
163           	-9.126006e-10
164           	-6.987734e-10
165           	-7.442060e-10
166           	-8.035808e-10
167           	-7.132605e-10
168           	-8.320302e-10
169           	-1.001474e-09
170           	-5.852646e-10
171           	-8.933375e-10
172           	-6.078201e-10
173           	-3.969926e-10
174           	-3.859415e-10
175           	-2.095747e-10
176           	-3.436674e-10
177           	-2.344790e-10
178           	9.951335e-12
179           	-1.012616e-10
