# Region type : patch outlet
# Faces  :    100
# Area   :    7.821723e-01
# Time        	sum(rhoPhi)
0             	3.914772e+00
0.0119048     	3.914772e-01
0.0260204     	5.679594e+00
0.0428132     	1.140276e+01
0.0627546     	2.072736e+01
0.0861857     	3.734803e+01
0.106954      	6.697878e+01
0.115975      	1.203884e+02
0.119869      	2.173828e+02
0.121565      	3.935907e+02
0.122312      	7.139054e+02
0.122644      	1.296941e+03
0.122791      	2.360104e+03
0.122857      	4.303115e+03
0.122887      	7.863566e+03
0.1229        	1.440850e+04
0.122906      	2.648450e+04
0.122909      	4.886337e+04
0.12291       	9.054741e+04
0.12291       	1.686503e+05
0.12291       	3.159841e+05
0.122911      	5.960504e+05
0.122911      	1.132987e+06
0.122911      	2.172056e+06
0.122911      	4.203181e+06
0.122911      	8.215924e+06
0.122911      	1.623114e+07
0.122911      	3.242005e+07
0.122911      	6.548015e+07
0.122911      	1.337190e+08
0.122911      	2.760078e+08
0.122911      	5.755247e+08
0.122911      	1.211498e+09
0.122911      	2.572478e+09
0.122911      	5.505276e+09
0.122911      	1.186390e+10
0.122911      	2.572327e+10
0.122911      	5.607004e+10
0.122911      	1.227792e+11
0.122911      	2.699120e+11
0.122911      	5.953466e+11
0.122911      	1.316884e+12
0.122911      	2.919892e+12
0.122911      	6.487324e+12
0.122911      	1.443802e+13
0.122911      	3.217933e+13
0.122911      	7.180892e+13
0.122911      	1.604109e+14
0.122911      	3.586562e+14
0.122911      	8.025244e+14
0.122911      	1.796914e+15
0.122911      	4.025745e+15
0.122911      	9.023636e+15
0.122911      	2.023512e+16
0.122911      	4.539407e+16
0.122911      	1.018686e+17
0.122911      	2.286712e+17
0.122911      	5.134745e+17
0.122911      	1.153282e+18
0.122911      	2.590693e+18
0.122911      	5.820298e+18
0.122911      	1.307714e+19
0.122911      	2.938393e+19
0.122911      	6.602803e+19
0.122911      	1.483751e+20
0.122911      	3.334291e+20
0.122911      	7.492912e+20
0.122911      	1.683834e+21
0.122911      	3.783951e+21
0.122911      	8.503273e+21
0.122911      	1.910812e+22
0.122911      	4.293768e+22
0.122911      	9.648172e+22
0.122911      	2.167879e+23
0.122911      	4.870875e+23
0.122911      	1.094356e+24
0.122911      	2.458603e+24
0.122911      	5.523256e+24
0.122911      	1.240731e+25
0.122911      	2.786983e+25
0.122911      	6.259866e+25
0.122911      	1.405947e+26
0.122911      	3.157518e+26
0.122911      	7.090797e+26
0.122911      	1.592269e+27
0.122911      	3.575278e+27
0.122911      	8.027400e+27
0.122911      	1.802236e+28
0.122911      	4.045946e+28
0.122911      	9.082396e+28
0.122911      	2.038697e+29
0.122911      	4.575907e+29
0.122911      	1.027008e+30
0.122911      	2.304854e+30
0.122911      	5.172322e+30
0.122911      	1.160649e+31
0.122911      	2.604290e+31
0.122911      	5.843216e+31
0.122911      	1.310959e+32
0.122911      	2.941041e+32
0.122911      	6.597644e+32
0.122911      	1.479970e+33
0.122911      	3.319659e+33
0.122911      	7.445801e+33
0.122911      	1.669964e+34
0.122911      	3.745254e+34
0.122911      	8.399123e+34
0.122911      	1.883501e+35
0.122911      	4.223549e+35
0.122911      	9.470422e+35
0.122911      	2.123449e+36
0.122911      	4.760970e+36
0.122911      	1.067409e+37
