# Region type : patch outlet
# Faces  :    100
# Area   :    7.821723e-01
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.0119048     	5.005000e+01
0.0258216     	3.497751e+01
0.0311742     	2.962583e+00
0.0371918     	2.944332e+00
0.0432472     	2.850412e+00
0.0498003     	2.755734e+00
0.0571095     	2.765579e+00
0.0637967     	2.688046e+00
0.0710541     	2.825468e+00
0.0787313     	3.236393e+00
0.0872616     	4.418956e+00
0.0955592     	6.182075e+00
0.104695      	1.068430e+01
0.113925      	1.857987e+01
0.123351      	3.317251e+01
0.132677      	5.719543e+01
0.142533      	1.023602e+02
0.152277      	1.688386e+02
0.162134      	2.672529e+02
0.171444      	3.769002e+02
0.18045       	4.938498e+02
0.189658      	5.630689e+02
0.199663      	5.642590e+02
0.209667      	4.906346e+02
0.220205      	3.612284e+02
0.230076      	2.452490e+02
0.239465      	1.529240e+02
0.249883      	7.832613e+01
0.261423      	2.347310e+01
0.273531      	-1.049347e+01
0.285639      	-2.717692e+01
0.298627      	-3.746532e+01
0.312115      	-4.330330e+01
0.326154      	-4.609836e+01
0.341128      	-4.710084e+01
0.356103      	-4.524858e+01
0.370411      	-4.123930e+01
0.385767      	-3.721284e+01
0.401517      	-3.294498e+01
0.417692      	-3.241078e+01
0.433867      	-3.715234e+01
0.450518      	-4.488239e+01
0.466679      	-6.368334e+01
0.482841      	-9.304283e+01
0.499523      	-1.191827e+02
0.516206      	-1.702329e+02
0.533484      	-1.990332e+02
0.550762      	-2.584576e+02
0.566253      	-2.967737e+02
0.582936      	-3.260749e+02
0.600314      	-3.711937e+02
0.617691      	-4.140150e+02
0.635069      	-4.671684e+02
0.652447      	-5.054418e+02
0.669824      	-5.401020e+02
0.687202      	-5.717272e+02
0.703665      	-5.943160e+02
0.719262      	-6.069243e+02
0.735776      	-6.126204e+02
0.75229       	-6.198740e+02
0.768804      	-6.214051e+02
0.785318      	-6.155763e+02
0.801832      	-6.016187e+02
0.818346      	-5.758241e+02
0.83486       	-5.524350e+02
0.851374      	-5.065996e+02
0.867888      	-4.565127e+02
0.884402      	-3.997722e+02
0.900916      	-3.330783e+02
0.91743       	-2.517598e+02
0.933944      	-1.500154e+02
0.950458      	-5.470520e+01
0.966972      	2.841614e+01
0.983486      	1.122978e+02
1             	2.109398e+02
1.01818       	2.945627e+02
1.03671       	3.425089e+02
1.05559       	3.597596e+02
