# Region type : patch atmosphere
# Faces  :    1200
# Area   :    9.444736e+02
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.119048      	3.645187e+02
0.177515      	1.244625e+04
0.247675      	4.952001e+03
0.331747      	1.415134e+03
0.43142       	4.873608e+03
0.551027      	2.154393e+03
0.684111      	5.326250e+03
0.842008      	2.195650e+03
0.96746       	6.525270e+03
1.11553       	2.507124e+03
1.25883       	6.074495e+03
1.42376       	2.299776e+03
1.55176       	6.617318e+03
1.70262       	2.732500e+03
1.84091       	6.536554e+03
2.0009        	2.485769e+03
2.12991       	6.692376e+03
2.28126       	2.605530e+03
2.43564       	5.789154e+03
2.61155       	2.326029e+03
2.7171        	8.033051e+03
2.84267       	3.211334e+03
2.98301       	5.013788e+03
3.14619       	2.549694e+03
3.27312       	6.420010e+03
3.4226        	2.603493e+03
3.55684       	6.147476e+03
3.71399       	2.512130e+03
3.82828       	7.358792e+03
3.96244       	2.848659e+03
4.1097        	5.453288e+03
4.28295       	2.081524e+03
4.38152       	7.740537e+03
4.49857       	3.193141e+03
4.63275       	4.824055e+03
4.7861        	3.658805e+03
4.9441        	5.434476e+03
5.12466       	2.470221e+03
5.22623       	7.367025e+03
5.34558       	2.975024e+03
5.47856       	4.954603e+03
5.63447       	3.328323e+03
5.75574       	6.045129e+03
5.89721       	3.200336e+03
6.01444       	5.595334e+03
6.15187       	2.925650e+03
6.28456       	5.449620e+03
6.43937       	2.737615e+03
6.54111       	6.812931e+03
6.66038       	3.455084e+03
6.79396       	5.484353e+03
6.94663       	2.643988e+03
7.06877       	6.413904e+03
7.20835       	2.520662e+03
7.33524       	6.022347e+03
7.47549       	2.524083e+03
7.59571       	6.858208e+03
7.72928       	2.593538e+03
7.84879       	6.110464e+03
7.98324       	2.293056e+03
8.11769       	6.192094e+03
8.26248       	2.377087e+03
8.37832       	6.525285e+03
8.50306       	2.634584e+03
8.63915       	6.410539e+03
8.79035       	2.405938e+03
8.90032       	6.642612e+03
9.02251       	2.579930e+03
9.14469       	5.642088e+03
9.26688       	2.234962e+03
9.38907       	6.891151e+03
9.51125       	2.530502e+03
9.63344       	6.162533e+03
9.75563       	2.221719e+03
9.87781       	6.366426e+03
10            	2.345729e+03
10.1351       	6.057736e+03
10.2721       	2.251778e+03
10.3953       	7.024543e+03
10.5325       	2.646875e+03
10.6781       	5.745378e+03
10.8389       	2.134198e+03
10.9548       	7.035476e+03
11.0879       	2.825428e+03
11.2364       	5.539674e+03
11.4017       	2.392871e+03
11.5029       	7.951920e+03
11.6209       	3.038001e+03
11.7561       	4.590104e+03
11.9087       	2.805358e+03
12.0482       	5.894830e+03
12.2041       	2.215104e+03
12.3028       	7.892866e+03
12.4177       	2.997575e+03
12.5484       	4.802882e+03
12.6945       	2.694781e+03
12.825        	5.818154e+03
12.9714       	2.332783e+03
13.0867       	6.832208e+03
13.2196       	2.678688e+03
13.3609       	6.123894e+03
13.5189       	2.229023e+03
13.6326       	6.870298e+03
13.76         	2.691697e+03
13.9018       	5.461914e+03
14.0582       	2.223110e+03
14.1572       	8.199036e+03
14.2718       	3.281395e+03
14.4019       	5.031969e+03
14.5493       	3.169508e+03
14.7007       	5.739600e+03
14.8663       	2.219301e+03
14.958        	8.310758e+03
15.0652       	3.377089e+03
15.1856       	4.809365e+03
15.3193       	3.933868e+03
15.4612       	4.865951e+03
15.6125       	3.210503e+03
15.7195       	5.892807e+03
15.8384       	3.402565e+03
15.9684       	5.482841e+03
16.1124       	3.265870e+03
16.2339       	5.995967e+03
16.3594       	3.139363e+03
16.4995       	5.470688e+03
16.6517       	2.826371e+03
16.7671       	6.120510e+03
16.8964       	3.252256e+03
17.0375       	5.668991e+03
17.1722       	2.652947e+03
17.2809       	6.339540e+03
17.3991       	3.002077e+03
17.5292       	4.918461e+03
17.6665       	2.438587e+03
17.7831       	6.419588e+03
17.9135       	2.948327e+03
18.0439       	5.634810e+03
18.1837       	2.548849e+03
18.3047       	6.094028e+03
18.4352       	2.738985e+03
18.5774       	5.255142e+03
18.7355       	2.450757e+03
18.8409       	6.982241e+03
18.9568       	3.226411e+03
19.0872       	4.988982e+03
19.2176       	2.737634e+03
19.348        	5.641614e+03
19.4784       	2.544765e+03
19.6088       	5.841947e+03
19.7392       	2.593661e+03
19.8696       	6.199852e+03
20            	2.730451e+03
20.1429       	5.727221e+03
20.3018       	2.549095e+03
20.4312       	5.997535e+03
20.5761       	2.813710e+03
20.7189       	5.758690e+03
20.8639       	2.609208e+03
20.9811       	6.708254e+03
21.1137       	2.989890e+03
21.2618       	4.960112e+03
21.4236       	2.290072e+03
21.527        	6.928512e+03
21.648        	3.209592e+03
21.7849       	4.863601e+03
21.937        	3.365546e+03
22.0864       	5.473270e+03
22.214        	2.353012e+03
22.3338       	6.310498e+03
22.4757       	2.787456e+03
22.6126       	5.371528e+03
22.7665       	2.732696e+03
22.8777       	6.835842e+03
23.0027       	3.161201e+03
23.1426       	4.924213e+03
23.2985       	2.259771e+03
23.4066       	6.689144e+03
23.531        	3.149889e+03
23.6716       	4.929245e+03
23.8122       	3.256085e+03
23.9385       	5.932987e+03
24.0795       	2.693025e+03
24.214        	5.813472e+03
24.3624       	2.643529e+03
24.4935       	5.792020e+03
24.6384       	2.767572e+03
24.7576       	6.485228e+03
24.892        	2.952528e+03
25.023        	5.392057e+03
25.1693       	2.494160e+03
25.2932       	6.089410e+03
25.4316       	2.817128e+03
25.566        	5.631027e+03
25.7004       	2.704015e+03
25.8232       	6.507710e+03
25.9624       	2.865162e+03
26.1066       	5.207754e+03
26.2624       	2.426523e+03
26.3723       	6.570900e+03
26.4974       	3.048672e+03
26.6375       	5.356162e+03
26.7903       	2.673843e+03
26.905        	6.498148e+03
27.0339       	2.971388e+03
27.1752       	5.029566e+03
27.3321       	2.423799e+03
