# Region type : patch atmosphere
# Faces  :    1200
# Area   :    9.444736e+02
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.119048      	5.820000e+03
0.172748      	1.515363e+04
0.236562      	5.729905e+03
0.309423      	1.379902e+03
0.357396      	9.135524e+03
0.414118      	3.701812e+03
0.479774      	2.263952e+03
0.543242      	7.385005e+03
0.616551      	3.558603e+03
0.69959       	6.805373e+03
0.793534      	5.985955e+03
0.880387      	5.644872e+03
0.95453       	5.406696e+03
1.03752       	5.189367e+03
1.08962       	3.807357e+03
1.14429       	7.342748e+03
1.20989       	3.529149e+03
1.28438       	4.260713e+03
1.34619       	4.917299e+03
1.41542       	5.238158e+03
1.49797       	3.144449e+03
1.53985       	6.119856e+03
1.58991       	4.583853e+03
1.64998       	3.574202e+03
1.71732       	5.136032e+03
1.77484       	4.140845e+03
1.8386        	5.802724e+03
1.91417       	3.295174e+03
1.98269       	5.493662e+03
2.04841       	3.331328e+03
2.11696       	5.801808e+03
2.19907       	2.840305e+03
2.2455        	5.660162e+03
2.30089       	3.972078e+03
2.36727       	3.486305e+03
2.42339       	5.388496e+03
2.48706       	4.721363e+03
2.55861       	4.743305e+03
2.63777       	4.241516e+03
2.68527       	5.833379e+03
2.74069       	5.536101e+03
2.80493       	4.713094e+03
2.8686        	5.130232e+03
2.92565       	4.970875e+03
2.98938       	5.925015e+03
3.06559       	4.074732e+03
3.13163       	4.537076e+03
3.18702       	5.434784e+03
3.25129       	5.250750e+03
3.32309       	3.475047e+03
3.37693       	6.868249e+03
3.44124       	3.552445e+03
3.51101       	4.176701e+03
3.56695       	5.071189e+03
3.6288        	4.901222e+03
3.70289       	3.748274e+03
3.75962       	4.270428e+03
3.81484       	6.098059e+03
3.87995       	4.157881e+03
3.93937       	3.507071e+03
3.993         	6.148838e+03
4.05691       	3.368269e+03
4.12766       	5.619172e+03
4.19757       	3.522971e+03
4.25129       	5.932015e+03
4.31447       	3.491944e+03
4.38135       	4.263222e+03
4.45627       	4.655843e+03
4.52388       	4.713926e+03
4.58541       	5.099885e+03
4.65572       	3.914178e+03
4.71258       	5.491485e+03
4.77706       	5.313678e+03
4.84861       	3.775032e+03
4.90283       	5.573698e+03
