# Region type : patch inlet
# Faces  :    200
# Area   :    4.200000e+01
# Time        	sum(rhoPhi)
0             	-5.000000e+04
0.119048      	-5.000000e+04
0.177515      	-5.000000e+04
0.247675      	-5.000000e+04
0.331747      	-5.000000e+04
0.43142       	-5.000000e+04
0.551027      	-5.000000e+04
0.684111      	-5.000000e+04
0.842008      	-5.000000e+04
0.96746       	-5.000000e+04
1.11553       	-5.000000e+04
1.25883       	-5.000000e+04
1.42376       	-5.000000e+04
1.55176       	-5.000000e+04
1.70262       	-5.000000e+04
1.84091       	-5.000000e+04
2.0009        	-5.000000e+04
2.12991       	-5.000000e+04
2.28126       	-5.000000e+04
2.43564       	-5.000000e+04
2.61155       	-5.000000e+04
2.7171        	-5.000000e+04
2.84267       	-5.000000e+04
2.98301       	-5.000000e+04
3.14619       	-5.000000e+04
3.27312       	-5.000000e+04
3.4226        	-5.000000e+04
3.55684       	-5.000000e+04
3.71399       	-5.000000e+04
3.82828       	-5.000000e+04
3.96244       	-5.000000e+04
4.1097        	-5.000000e+04
4.28295       	-5.000000e+04
4.38152       	-5.000000e+04
4.49857       	-5.000000e+04
4.63275       	-5.000000e+04
4.7861        	-5.000000e+04
4.9441        	-5.000000e+04
5.12466       	-5.000000e+04
5.22623       	-5.000000e+04
5.34558       	-5.000000e+04
5.47856       	-5.000000e+04
5.63447       	-5.000000e+04
5.75574       	-5.000000e+04
5.89721       	-5.000000e+04
6.01444       	-5.000000e+04
6.15187       	-5.000000e+04
6.28456       	-5.000000e+04
6.43937       	-5.000000e+04
6.54111       	-5.000000e+04
6.66038       	-5.000000e+04
6.79396       	-5.000000e+04
6.94663       	-5.000000e+04
7.06877       	-5.000000e+04
7.20835       	-5.000000e+04
7.33524       	-5.000000e+04
7.47549       	-5.000000e+04
7.59571       	-5.000000e+04
7.72928       	-5.000000e+04
7.84879       	-5.000000e+04
7.98324       	-5.000000e+04
8.11769       	-5.000000e+04
8.26248       	-5.000000e+04
8.37832       	-5.000000e+04
8.50306       	-5.000000e+04
8.63915       	-5.000000e+04
8.79035       	-5.000000e+04
8.90032       	-5.000000e+04
9.02251       	-5.000000e+04
9.14469       	-5.000000e+04
9.26688       	-5.000000e+04
9.38907       	-5.000000e+04
9.51125       	-5.000000e+04
9.63344       	-5.000000e+04
9.75563       	-5.000000e+04
9.87781       	-5.000000e+04
10            	-5.000000e+04
10.1351       	-5.000000e+04
10.2721       	-5.000000e+04
10.3953       	-5.000000e+04
10.5325       	-5.000000e+04
10.6781       	-5.000000e+04
10.8389       	-5.000000e+04
10.9548       	-5.000000e+04
11.0879       	-5.000000e+04
11.2364       	-5.000000e+04
11.4017       	-5.000000e+04
11.5029       	-5.000000e+04
11.6209       	-5.000000e+04
11.7561       	-5.000000e+04
11.9087       	-5.000000e+04
12.0482       	-5.000000e+04
12.2041       	-5.000000e+04
12.3028       	-5.000000e+04
12.4177       	-5.000000e+04
12.5484       	-5.000000e+04
12.6945       	-5.000000e+04
12.825        	-5.000000e+04
12.9714       	-5.000000e+04
13.0867       	-5.000000e+04
13.2196       	-5.000000e+04
13.3609       	-5.000000e+04
13.5189       	-5.000000e+04
13.6326       	-5.000000e+04
13.76         	-5.000000e+04
13.9018       	-5.000000e+04
14.0582       	-5.000000e+04
14.1572       	-5.000000e+04
14.2718       	-5.000000e+04
14.4019       	-5.000000e+04
14.5493       	-5.000000e+04
14.7007       	-5.000000e+04
14.8663       	-5.000000e+04
14.958        	-5.000000e+04
15.0652       	-5.000000e+04
15.1856       	-5.000000e+04
15.3193       	-5.000000e+04
15.4612       	-5.000000e+04
15.6125       	-5.000000e+04
15.7195       	-5.000000e+04
15.8384       	-5.000000e+04
15.9684       	-5.000000e+04
16.1124       	-5.000000e+04
16.2339       	-5.000000e+04
16.3594       	-5.000000e+04
16.4995       	-5.000000e+04
16.6517       	-5.000000e+04
16.7671       	-5.000000e+04
16.8964       	-5.000000e+04
17.0375       	-5.000000e+04
17.1722       	-5.000000e+04
17.2809       	-5.000000e+04
17.3991       	-5.000000e+04
17.5292       	-5.000000e+04
17.6665       	-5.000000e+04
17.7831       	-5.000000e+04
17.9135       	-5.000000e+04
18.0439       	-5.000000e+04
18.1837       	-5.000000e+04
18.3047       	-5.000000e+04
18.4352       	-5.000000e+04
18.5774       	-5.000000e+04
18.7355       	-5.000000e+04
18.8409       	-5.000000e+04
18.9568       	-5.000000e+04
19.0872       	-5.000000e+04
19.2176       	-5.000000e+04
19.348        	-5.000000e+04
19.4784       	-5.000000e+04
19.6088       	-5.000000e+04
19.7392       	-5.000000e+04
19.8696       	-5.000000e+04
20            	-5.000000e+04
20.1429       	-5.000000e+04
20.3018       	-5.000000e+04
20.4312       	-5.000000e+04
20.5761       	-5.000000e+04
20.7189       	-5.000000e+04
20.8639       	-5.000000e+04
20.9811       	-5.000000e+04
21.1137       	-5.000000e+04
21.2618       	-5.000000e+04
21.4236       	-5.000000e+04
21.527        	-5.000000e+04
21.648        	-5.000000e+04
21.7849       	-5.000000e+04
21.937        	-5.000000e+04
22.0864       	-5.000000e+04
22.214        	-5.000000e+04
22.3338       	-5.000000e+04
22.4757       	-5.000000e+04
22.6126       	-5.000000e+04
22.7665       	-5.000000e+04
22.8777       	-5.000000e+04
23.0027       	-5.000000e+04
23.1426       	-5.000000e+04
23.2985       	-5.000000e+04
23.4066       	-5.000000e+04
23.531        	-5.000000e+04
23.6716       	-5.000000e+04
23.8122       	-5.000000e+04
23.9385       	-5.000000e+04
24.0795       	-5.000000e+04
24.214        	-5.000000e+04
24.3624       	-5.000000e+04
24.4935       	-5.000000e+04
24.6384       	-5.000000e+04
24.7576       	-5.000000e+04
24.892        	-5.000000e+04
25.023        	-5.000000e+04
25.1693       	-5.000000e+04
25.2932       	-5.000000e+04
25.4316       	-5.000000e+04
25.566        	-5.000000e+04
25.7004       	-5.000000e+04
25.8232       	-5.000000e+04
25.9624       	-5.000000e+04
26.1066       	-5.000000e+04
26.2624       	-5.000000e+04
26.3723       	-5.000000e+04
26.4974       	-5.000000e+04
26.6375       	-5.000000e+04
26.7903       	-5.000000e+04
26.905        	-5.000000e+04
27.0339       	-5.000000e+04
27.1752       	-5.000000e+04
27.3321       	-5.000000e+04
27.4347       	-5.000000e+04
27.5513       	-5.000000e+04
27.6802       	-5.000000e+04
27.8252       	-5.000000e+04
27.9611       	-5.000000e+04
28.097        	-5.000000e+04
28.209        	-5.000000e+04
28.3369       	-5.000000e+04
28.4755       	-5.000000e+04
28.628        	-5.000000e+04
28.7335       	-5.000000e+04
28.8486       	-5.000000e+04
28.9766       	-5.000000e+04
29.1228       	-5.000000e+04
29.2324       	-5.000000e+04
29.3421       	-5.000000e+04
29.4517       	-5.000000e+04
29.5614       	-5.000000e+04
29.671        	-5.000000e+04
29.7807       	-5.000000e+04
29.8903       	-5.000000e+04
30            	-5.000000e+04
30.1235       	-5.000000e+04
30.2687       	-5.000000e+04
30.3888       	-5.000000e+04
30.5223       	-5.000000e+04
30.6704       	-5.000000e+04
30.8162       	-5.000000e+04
30.9324       	-5.000000e+04
31.0678       	-5.000000e+04
31.2166       	-5.000000e+04
31.3518       	-5.000000e+04
31.4671       	-5.000000e+04
31.5984       	-5.000000e+04
31.7458       	-5.000000e+04
31.9015       	-5.000000e+04
32.004        	-5.000000e+04
32.1234       	-5.000000e+04
32.2569       	-5.000000e+04
32.4058       	-5.000000e+04
32.564        	-5.000000e+04
32.6992       	-5.000000e+04
32.8115       	-5.000000e+04
32.9422       	-5.000000e+04
33.0862       	-5.000000e+04
33.247        	-5.000000e+04
33.3525       	-5.000000e+04
33.4734       	-5.000000e+04
33.6123       	-5.000000e+04
33.7644       	-5.000000e+04
33.8777       	-5.000000e+04
34.0053       	-5.000000e+04
34.1447       	-5.000000e+04
34.2841       	-5.000000e+04
34.4032       	-5.000000e+04
34.5397       	-5.000000e+04
34.6914       	-5.000000e+04
34.8388       	-5.000000e+04
34.9442       	-5.000000e+04
35.0645       	-5.000000e+04
35.2016       	-5.000000e+04
35.3564       	-5.000000e+04
35.4854       	-5.000000e+04
35.6265       	-5.000000e+04
35.7551       	-5.000000e+04
35.9015       	-5.000000e+04
36.0257       	-5.000000e+04
36.1539       	-5.000000e+04
36.2821       	-5.000000e+04
