# Region type : patch inlet
# Faces  :    200
# Area   :    2.100000e+01
# Time        	sum(rhoPhi)
0             	-5.000000e+04
0.119048      	-5.000000e+04
0.172748      	-5.000000e+04
0.236562      	-5.000000e+04
0.309423      	-5.000000e+04
0.357396      	-5.000000e+04
0.414118      	-5.000000e+04
0.479774      	-5.000000e+04
0.543242      	-5.000000e+04
0.616551      	-5.000000e+04
0.69959       	-5.000000e+04
0.793534      	-5.000000e+04
0.880387      	-5.000000e+04
0.95453       	-5.000000e+04
1.03752       	-5.000000e+04
1.08962       	-5.000000e+04
1.14429       	-5.000000e+04
1.20989       	-5.000000e+04
1.28438       	-5.000000e+04
1.34619       	-5.000000e+04
1.41542       	-5.000000e+04
1.49797       	-5.000000e+04
1.53985       	-5.000000e+04
1.58991       	-5.000000e+04
1.64998       	-5.000000e+04
1.71732       	-5.000000e+04
1.77484       	-5.000000e+04
1.8386        	-5.000000e+04
1.91417       	-5.000000e+04
1.98269       	-5.000000e+04
2.04841       	-5.000000e+04
2.11696       	-5.000000e+04
2.19907       	-5.000000e+04
2.2455        	-5.000000e+04
2.30089       	-5.000000e+04
2.36727       	-5.000000e+04
2.42339       	-5.000000e+04
2.48706       	-5.000000e+04
2.55861       	-5.000000e+04
2.63777       	-5.000000e+04
2.68527       	-5.000000e+04
2.74069       	-5.000000e+04
2.80493       	-5.000000e+04
2.8686        	-5.000000e+04
2.92565       	-5.000000e+04
2.98938       	-5.000000e+04
3.06559       	-5.000000e+04
3.13163       	-5.000000e+04
3.18702       	-5.000000e+04
3.25129       	-5.000000e+04
3.32309       	-5.000000e+04
3.37693       	-5.000000e+04
3.44124       	-5.000000e+04
3.51101       	-5.000000e+04
3.56695       	-5.000000e+04
3.6288        	-5.000000e+04
3.70289       	-5.000000e+04
3.75962       	-5.000000e+04
3.81484       	-5.000000e+04
3.87995       	-5.000000e+04
3.93937       	-5.000000e+04
3.993         	-5.000000e+04
4.05691       	-5.000000e+04
4.12766       	-5.000000e+04
4.19757       	-5.000000e+04
4.25129       	-5.000000e+04
4.31447       	-5.000000e+04
4.38135       	-5.000000e+04
4.45627       	-5.000000e+04
4.52388       	-5.000000e+04
4.58541       	-5.000000e+04
4.65572       	-5.000000e+04
4.71258       	-5.000000e+04
4.77706       	-5.000000e+04
4.84861       	-5.000000e+04
4.90283       	-5.000000e+04
4.95884       	-5.000000e+04
5.02348       	-5.000000e+04
5.08983       	-5.000000e+04
5.15444       	-5.000000e+04
5.22081       	-5.000000e+04
5.28719       	-5.000000e+04
5.33628       	-5.000000e+04
5.39247       	-5.000000e+04
5.45829       	-5.000000e+04
5.53038       	-5.000000e+04
5.6088        	-5.000000e+04
5.66979       	-5.000000e+04
5.73963       	-5.000000e+04
5.81437       	-5.000000e+04
5.88413       	-5.000000e+04
5.9413        	-5.000000e+04
6.00676       	-5.000000e+04
6.08071       	-5.000000e+04
6.13515       	-5.000000e+04
6.19956       	-5.000000e+04
6.27127       	-5.000000e+04
6.3506        	-5.000000e+04
6.40762       	-5.000000e+04
6.46956       	-5.000000e+04
6.53878       	-5.000000e+04
6.59846       	-5.000000e+04
6.66516       	-5.000000e+04
6.74095       	-5.000000e+04
6.8013        	-5.000000e+04
6.86936       	-5.000000e+04
6.9439        	-5.000000e+04
6.99092       	-5.000000e+04
7.04465       	-5.000000e+04
7.1089        	-5.000000e+04
7.16672       	-5.000000e+04
7.23111       	-5.000000e+04
7.30211       	-5.000000e+04
7.38146       	-5.000000e+04
7.4274        	-5.000000e+04
7.4799        	-5.000000e+04
7.5429        	-5.000000e+04
7.61517       	-5.000000e+04
7.66817       	-5.000000e+04
7.72646       	-5.000000e+04
7.79333       	-5.000000e+04
7.86229       	-5.000000e+04
7.93864       	-5.000000e+04
8.02109       	-5.000000e+04
8.06067       	-5.000000e+04
8.10797       	-5.000000e+04
8.16362       	-5.000000e+04
8.22286       	-5.000000e+04
8.29121       	-5.000000e+04
8.35013       	-5.000000e+04
8.41613       	-5.000000e+04
8.48812       	-5.000000e+04
8.54859       	-5.000000e+04
8.61457       	-5.000000e+04
8.6748        	-5.000000e+04
8.74106       	-5.000000e+04
8.81975       	-5.000000e+04
8.8619        	-5.000000e+04
8.91138       	-5.000000e+04
8.96868       	-5.000000e+04
9.02934       	-5.000000e+04
9.08644       	-5.000000e+04
9.1517        	-5.000000e+04
9.21695       	-5.000000e+04
9.27288       	-5.000000e+04
9.33347       	-5.000000e+04
9.40013       	-5.000000e+04
9.45466       	-5.000000e+04
9.51525       	-5.000000e+04
9.56912       	-5.000000e+04
9.63067       	-5.000000e+04
9.69223       	-5.000000e+04
9.75378       	-5.000000e+04
9.81534       	-5.000000e+04
9.87689       	-5.000000e+04
9.93845       	-5.000000e+04
10            	-5.000000e+04
10.0529       	-5.000000e+04
10.1163       	-5.000000e+04
10.1879       	-5.000000e+04
10.2362       	-5.000000e+04
10.293        	-5.000000e+04
10.3609       	-5.000000e+04
10.4235       	-5.000000e+04
10.4919       	-5.000000e+04
10.5685       	-5.000000e+04
10.6567       	-5.000000e+04
10.7174       	-5.000000e+04
10.7673       	-5.000000e+04
10.8268       	-5.000000e+04
10.8953       	-5.000000e+04
10.9613       	-5.000000e+04
11.0282       	-5.000000e+04
11.1036       	-5.000000e+04
11.19         	-5.000000e+04
11.2412       	-5.000000e+04
11.3025       	-5.000000e+04
11.3726       	-5.000000e+04
11.42         	-5.000000e+04
11.4747       	-5.000000e+04
11.5392       	-5.000000e+04
11.6148       	-5.000000e+04
11.6742       	-5.000000e+04
11.7403       	-5.000000e+04
11.8154       	-5.000000e+04
11.8765       	-5.000000e+04
11.9442       	-5.000000e+04
12.0216       	-5.000000e+04
12.1074       	-5.000000e+04
12.1696       	-5.000000e+04
12.2389       	-5.000000e+04
12.3114       	-5.000000e+04
12.3734       	-5.000000e+04
12.4291       	-5.000000e+04
12.4944       	-5.000000e+04
12.5476       	-5.000000e+04
12.6058       	-5.000000e+04
12.6749       	-5.000000e+04
12.752        	-5.000000e+04
12.8057       	-5.000000e+04
12.8657       	-5.000000e+04
12.937        	-5.000000e+04
12.9979       	-5.000000e+04
13.0659       	-5.000000e+04
13.1227       	-5.000000e+04
13.1795       	-5.000000e+04
13.2478       	-5.000000e+04
13.3181       	-5.000000e+04
13.3907       	-5.000000e+04
13.444        	-5.000000e+04
13.5071       	-5.000000e+04
13.5754       	-5.000000e+04
13.6484       	-5.000000e+04
13.7095       	-5.000000e+04
13.7694       	-5.000000e+04
13.841        	-5.000000e+04
13.8965       	-5.000000e+04
13.9588       	-5.000000e+04
14.029        	-5.000000e+04
14.0912       	-5.000000e+04
14.1353       	-5.000000e+04
14.1881       	-5.000000e+04
14.2493       	-5.000000e+04
14.3105       	-5.000000e+04
14.3782       	-5.000000e+04
14.4494       	-5.000000e+04
14.5033       	-5.000000e+04
14.5637       	-5.000000e+04
14.6343       	-5.000000e+04
14.6946       	-5.000000e+04
14.751        	-5.000000e+04
14.8183       	-5.000000e+04
14.8923       	-5.000000e+04
14.936        	-5.000000e+04
14.9882       	-5.000000e+04
15.0508       	-5.000000e+04
15.1035       	-5.000000e+04
15.1663       	-5.000000e+04
15.2374       	-5.000000e+04
15.2969       	-5.000000e+04
15.3631       	-5.000000e+04
15.4417       	-5.000000e+04
15.5042       	-5.000000e+04
15.5597       	-5.000000e+04
15.6213       	-5.000000e+04
15.6943       	-5.000000e+04
15.7432       	-5.000000e+04
15.8016       	-5.000000e+04
15.8682       	-5.000000e+04
15.9162       	-5.000000e+04
15.9722       	-5.000000e+04
16.0382       	-5.000000e+04
16.1144       	-5.000000e+04
16.1669       	-5.000000e+04
16.225        	-5.000000e+04
16.2936       	-5.000000e+04
16.3498       	-5.000000e+04
16.4087       	-5.000000e+04
16.474        	-5.000000e+04
16.5459       	-5.000000e+04
16.6016       	-5.000000e+04
16.6657       	-5.000000e+04
16.7382       	-5.000000e+04
16.7935       	-5.000000e+04
16.8564       	-5.000000e+04
16.9262       	-5.000000e+04
16.9961       	-5.000000e+04
17.047        	-5.000000e+04
17.1049       	-5.000000e+04
17.1738       	-5.000000e+04
17.2293       	-5.000000e+04
17.2908       	-5.000000e+04
17.3603       	-5.000000e+04
17.4232       	-5.000000e+04
17.4718       	-5.000000e+04
