# Region type : patch outlet
# Faces  :    200
# Area   :    4.200000e+01
# Time        	sum(rhoPhi)
0             	4.200000e+01
0.119048      	4.200000e+01
0.177515      	4.195763e+01
0.247675      	4.171895e+01
0.331747      	4.162775e+01
0.43142       	4.156854e+01
0.551027      	4.151484e+01
0.684111      	4.145767e+01
0.842008      	4.139477e+01
0.96746       	4.132396e+01
1.11553       	4.125492e+01
1.25883       	4.118513e+01
1.42376       	4.111213e+01
1.55176       	4.103442e+01
1.70262       	4.096031e+01
1.84091       	4.088666e+01
2.0009        	4.081173e+01
2.12991       	4.073367e+01
2.28126       	4.065836e+01
2.43564       	4.058311e+01
2.61155       	4.050325e+01
2.7171        	4.041777e+01
2.84267       	4.034384e+01
2.98301       	4.027816e+01
3.14619       	4.020652e+01
3.27312       	4.012701e+01
3.4226        	4.005250e+01
3.55684       	3.997713e+01
3.71399       	3.990421e+01
3.82828       	3.982614e+01
3.96244       	3.975613e+01
4.1097        	3.968696e+01
4.28295       	3.961552e+01
4.38152       	3.953302e+01
4.49857       	3.946544e+01
4.63275       	3.940295e+01
4.7861        	3.933910e+01
4.9441        	3.926443e+01
5.12466       	3.918809e+01
5.22623       	3.910340e+01
5.34558       	3.903297e+01
5.47856       	3.897132e+01
5.63447       	3.890668e+01
5.75574       	3.883544e+01
5.89721       	3.876578e+01
6.01444       	3.869923e+01
6.15187       	3.863333e+01
6.28456       	3.856931e+01
6.43937       	3.850161e+01
6.54111       	3.843198e+01
6.66038       	3.836742e+01
6.79396       	3.831011e+01
6.94663       	3.824697e+01
7.06877       	3.817922e+01
7.20835       	3.811226e+01
7.33524       	3.804825e+01
7.47549       	3.798421e+01
7.59571       	3.792011e+01
7.72928       	3.785885e+01
7.84879       	3.779791e+01
7.98324       	3.774016e+01
8.11769       	3.768197e+01
8.26248       	3.762554e+01
8.37832       	3.756886e+01
8.50306       	3.752118e+01
8.63915       	3.747988e+01
8.79035       	3.744716e+01
8.90032       	3.742732e+01
9.02251       	3.743579e+01
9.14469       	3.746866e+01
9.26688       	3.754776e+01
9.38907       	3.769182e+01
9.51125       	3.793016e+01
9.63344       	3.830205e+01
9.75563       	3.887653e+01
9.87781       	3.972989e+01
10            	4.098596e+01
10.1351       	4.281565e+01
10.2721       	4.589848e+01
10.3953       	5.410303e+01
10.5325       	1.109915e+02
10.6781       	4.592905e+02
10.8389       	1.888498e+03
10.9548       	4.451662e+03
11.0879       	8.743561e+03
11.2364       	1.301860e+04
11.4017       	1.572424e+04
11.5029       	1.709889e+04
11.6209       	1.721497e+04
11.7561       	1.666817e+04
11.9087       	1.579542e+04
12.0482       	1.498854e+04
12.2041       	1.406414e+04
12.3028       	1.344135e+04
12.4177       	1.292330e+04
12.5484       	1.265972e+04
12.6945       	1.270019e+04
12.825        	1.280588e+04
12.9714       	1.332250e+04
13.0867       	1.363564e+04
13.2196       	1.432656e+04
13.3609       	1.494210e+04
13.5189       	1.539225e+04
13.6326       	1.550000e+04
13.76         	1.560986e+04
13.9018       	1.547652e+04
14.0582       	1.530732e+04
14.1572       	1.471789e+04
14.2718       	1.492528e+04
14.4019       	1.532449e+04
14.5493       	1.574088e+04
