# Region type : patch outlet
# Faces  :    200
# Area   :    2.100000e+01
# Time        	sum(rhoPhi)
0             	0.000000e+00
0.119048      	0.000000e+00
0.172748      	-1.571240e-03
0.236562      	6.458626e-21
0.309423      	-4.479866e-04
0.357396      	1.427985e-04
0.414118      	9.173210e-04
0.479774      	1.541633e-03
0.543242      	2.280617e-03
0.616551      	3.262289e-03
0.69959       	4.436694e-03
0.793534      	6.064153e-03
0.880387      	8.271087e-03
0.95453       	1.098260e-02
1.03752       	1.438817e-02
1.08962       	1.822258e-02
1.14429       	2.334718e-02
1.20989       	2.853153e-02
1.28438       	3.511769e-02
1.34619       	4.355161e-02
1.41542       	5.393146e-02
1.49797       	6.598538e-02
1.53985       	8.103989e-02
1.58991       	9.839334e-02
1.64998       	1.148831e-01
1.71732       	1.344412e-01
1.77484       	1.582183e-01
1.8386        	1.886691e-01
1.91417       	2.227135e-01
1.98269       	2.637091e-01
2.04841       	3.179049e-01
2.11696       	3.821980e-01
2.19907       	4.542416e-01
2.2455        	5.331399e-01
2.30089       	6.625411e-01
2.36727       	7.763743e-01
2.42339       	9.014595e-01
2.48706       	1.062430e+00
2.55861       	1.220074e+00
2.63777       	1.496642e+00
2.68527       	1.941125e+00
2.74069       	3.652666e+00
2.80493       	7.583892e+00
2.8686        	1.444924e+01
2.92565       	2.278436e+01
2.98938       	3.361154e+01
3.06559       	4.630981e+01
3.13163       	5.687070e+01
3.18702       	6.856574e+01
3.25129       	8.476131e+01
3.32309       	1.003017e+02
3.37693       	1.108749e+02
3.44124       	1.197157e+02
3.51101       	1.257419e+02
3.56695       	1.305148e+02
3.6288        	1.341216e+02
3.70289       	1.362023e+02
3.75962       	1.371895e+02
3.81484       	1.380899e+02
3.87995       	1.380672e+02
3.93937       	1.364652e+02
3.993         	1.357476e+02
4.05691       	1.350475e+02
4.12766       	1.353209e+02
4.19757       	1.359972e+02
4.25129       	1.366029e+02
4.31447       	1.410144e+02
4.38135       	1.451636e+02
4.45627       	1.501465e+02
4.52388       	1.532303e+02
4.58541       	1.565973e+02
4.65572       	1.619298e+02
4.71258       	1.641181e+02
4.77706       	1.678268e+02
4.84861       	1.712082e+02
4.90283       	1.714502e+02
4.95884       	1.731253e+02
5.02348       	1.751852e+02
5.08983       	1.760490e+02
5.15444       	1.761175e+02
5.22081       	1.760522e+02
5.28719       	1.753655e+02
5.33628       	1.728928e+02
5.39247       	1.725863e+02
5.45829       	1.722453e+02
5.53038       	1.711520e+02
5.6088        	1.699857e+02
5.66979       	1.678986e+02
5.73963       	1.681486e+02
5.81437       	1.681266e+02
5.88413       	1.674780e+02
5.9413        	1.665260e+02
6.00676       	1.679551e+02
6.08071       	1.701713e+02
6.13515       	1.699537e+02
6.19956       	1.727006e+02
6.27127       	1.761214e+02
6.3506        	1.804604e+02
6.40762       	1.813752e+02
6.46956       	1.853438e+02
6.53878       	1.902038e+02
6.59846       	1.926190e+02
6.66516       	1.971715e+02
6.74095       	2.025420e+02
6.8013        	2.039007e+02
6.86936       	2.090023e+02
6.9439        	2.146901e+02
6.99092       	2.134387e+02
7.04465       	2.179447e+02
7.1089        	2.243003e+02
7.16672       	2.260043e+02
7.23111       	2.314931e+02
7.30211       	2.387361e+02
7.38146       	2.489286e+02
7.4274        	2.459166e+02
7.4799        	2.546637e+02
7.5429        	2.689050e+02
7.61517       	2.854374e+02
7.66817       	2.914104e+02
7.72646       	3.049768e+02
7.79333       	3.211659e+02
7.86229       	3.345562e+02
7.93864       	3.477017e+02
8.02109       	3.589640e+02
8.06067       	3.576343e+02
8.10797       	3.645071e+02
8.16362       	3.720140e+02
8.22286       	3.782658e+02
8.29121       	3.852251e+02
8.35013       	3.887259e+02
8.41613       	3.935795e+02
8.48812       	3.983594e+02
8.54859       	4.018540e+02
8.61457       	4.082000e+02
8.6748        	4.140456e+02
8.74106       	4.225823e+02
8.81975       	4.333312e+02
8.8619        	4.350888e+02
8.91138       	4.426729e+02
8.96868       	4.498369e+02
9.02934       	4.565548e+02
9.08644       	4.615237e+02
9.1517        	4.680325e+02
9.21695       	4.730807e+02
9.27288       	4.756487e+02
9.33347       	4.797672e+02
9.40013       	4.843198e+02
9.45466       	4.853397e+02
9.51525       	4.899459e+02
9.56912       	4.915891e+02
9.63067       	4.960824e+02
9.69223       	4.992719e+02
9.75378       	5.025069e+02
9.81534       	5.064371e+02
9.87689       	5.105750e+02
9.93845       	5.157172e+02
10            	5.219202e+02
10.0529       	5.261854e+02
10.1163       	5.382312e+02
10.1879       	5.495900e+02
10.2362       	5.485314e+02
10.293        	5.574159e+02
10.3609       	5.675554e+02
10.4235       	5.731033e+02
10.4919       	5.829681e+02
10.5685       	5.946085e+02
10.6567       	6.079240e+02
10.7174       	6.088973e+02
10.7673       	6.132522e+02
10.8268       	6.237687e+02
10.8953       	6.345895e+02
10.9613       	6.424641e+02
11.0282       	6.508175e+02
11.1036       	6.612813e+02
11.19         	6.723655e+02
11.2412       	6.710044e+02
11.3025       	6.799035e+02
11.3726       	6.889032e+02
11.42         	6.891840e+02
11.4747       	6.968347e+02
11.5392       	7.055869e+02
11.6148       	7.154507e+02
11.6742       	7.181467e+02
11.7403       	7.267459e+02
11.8154       	7.362860e+02
11.8765       	7.398817e+02
11.9442       	7.479862e+02
12.0216       	7.569299e+02
12.1074       	7.651346e+02
12.1696       	7.670176e+02
12.2389       	7.731102e+02
12.3114       	7.783208e+02
12.3734       	7.808599e+02
12.4291       	7.830922e+02
12.4944       	7.862340e+02
12.5476       	7.866535e+02
12.6058       	7.873604e+02
12.6749       	7.878005e+02
12.752        	7.867195e+02
12.8057       	7.834348e+02
12.8657       	7.812511e+02
12.937        	7.786031e+02
12.9979       	7.744908e+02
13.0659       	7.709594e+02
13.1227       	7.666836e+02
13.1795       	7.632332e+02
13.2478       	7.602362e+02
13.3181       	7.566220e+02
13.3907       	7.532366e+02
13.444        	7.496054e+02
13.5071       	7.475310e+02
13.5754       	7.450523e+02
13.6484       	7.423877e+02
13.7095       	7.393722e+02
13.7694       	7.368901e+02
13.841        	7.344734e+02
13.8965       	7.313712e+02
13.9588       	7.290111e+02
14.029        	7.266770e+02
14.0912       	7.239246e+02
14.1353       	7.212988e+02
14.1881       	7.195259e+02
14.2493       	7.173977e+02
14.3105       	7.148368e+02
14.3782       	7.121388e+02
14.4494       	7.088321e+02
14.5033       	7.056035e+02
14.5637       	7.033367e+02
14.6343       	7.008229e+02
14.6946       	6.979045e+02
14.751        	6.952339e+02
14.8183       	6.927184e+02
14.8923       	6.897572e+02
14.936        	6.869055e+02
14.9882       	6.846777e+02
15.0508       	6.820306e+02
15.1035       	6.792183e+02
15.1663       	6.763661e+02
15.2374       	6.730578e+02
15.2969       	6.697275e+02
15.3631       	6.664791e+02
15.4417       	6.628120e+02
15.5042       	6.592018e+02
15.5597       	6.561559e+02
15.6213       	6.533108e+02
15.6943       	6.501500e+02
15.7432       	6.471306e+02
15.8016       	6.447710e+02
15.8682       	6.421406e+02
15.9162       	6.395890e+02
15.9722       	6.375118e+02
16.0382       	6.351254e+02
16.1144       	6.323094e+02
16.1669       	6.298082e+02
16.225        	6.278267e+02
16.2936       	6.254950e+02
16.3498       	6.233089e+02
16.4087       	6.213743e+02
16.474        	6.192779e+02
16.5459       	6.169875e+02
16.6016       	6.153822e+02
16.6657       	6.143873e+02
16.7382       	6.140483e+02
16.7935       	6.148928e+02
16.8564       	6.219325e+02
16.9262       	6.450677e+02
16.9961       	7.094626e+02
17.047        	8.063458e+02
17.1049       	1.023067e+03
17.1738       	1.438206e+03
17.2293       	1.866671e+03
17.2908       	2.465744e+03
17.3603       	3.215242e+03
17.4232       	3.874461e+03
17.4718       	4.391228e+03
17.528        	5.100975e+03
17.5948       	5.981031e+03
17.6699       	6.915251e+03
17.7175       	7.265151e+03
17.7732       	7.915579e+03
17.8386       	8.628074e+03
17.8987       	9.124806e+03
17.9624       	9.478965e+03
18.0281       	9.714807e+03
18.1011       	9.901143e+03
18.1837       	1.007937e+04
18.2371       	9.999565e+03
18.2959       	1.019282e+04
18.364        	1.053042e+04
18.4204       	1.074487e+04
18.4863       	1.117729e+04
18.5583       	1.170994e+04
18.6138       	1.208716e+04
18.6692       	1.253568e+04
18.7326       	1.303876e+04
18.803        	1.353809e+04
18.8551       	1.385957e+04
18.9123       	1.423275e+04
18.9727       	1.459177e+04
19.0369       	1.495778e+04
19.1057       	1.534911e+04
19.1583       	1.561059e+04
19.2185       	1.591622e+04
19.2836       	1.620803e+04
19.3348       	1.641478e+04
19.3902       	1.664063e+04
19.4512       	1.686004e+04
19.5198       	1.708373e+04
19.5731       	1.723170e+04
19.6265       	1.737895e+04
19.6887       	1.753180e+04
19.751        	1.764929e+04
19.8132       	1.774412e+04
19.8599       	1.779160e+04
19.9066       	1.784144e+04
19.9533       	1.788300e+04
20            	1.791958e+04
20.0559       	1.797138e+04
20.118        	1.802635e+04
20.1758       	1.806974e+04
20.2388       	1.814321e+04
20.2987       	1.820872e+04
20.366        	1.831165e+04
20.4431       	1.843977e+04
20.4965       	1.848244e+04
20.5603       	1.861675e+04
20.6313       	1.875127e+04
20.6874       	1.881841e+04
20.7511       	1.894703e+04
20.8251       	1.909169e+04
20.8719       	1.912024e+04
20.9279       	1.924477e+04
20.9946       	1.938115e+04
21.0716       	1.952340e+04
21.1165       	1.954144e+04
21.1687       	1.965067e+04
21.2314       	1.977397e+04
21.2891       	1.986010e+04
21.3522       	1.997176e+04
21.4225       	2.009529e+04
21.5027       	2.023427e+04
21.5504       	2.027418e+04
21.6064       	2.039321e+04
21.673        	2.052901e+04
21.7292       	2.061989e+04
21.7954       	2.075826e+04
21.8566       	2.087077e+04
21.9165       	2.099274e+04
21.9797       	2.112950e+04
22.0342       	2.123294e+04
22.0964       	2.137545e+04
22.1658       	2.152480e+04
22.2242       	2.161867e+04
22.289        	2.174969e+04
22.3618       	2.189018e+04
22.4229       	2.196885e+04
22.4924       	2.209165e+04
22.5706       	2.221902e+04
22.6273       	2.224762e+04
22.6914       	2.233716e+04
22.7668       	2.244319e+04
22.8065       	2.240099e+04
22.8542       	2.246110e+04
22.9113       	2.254099e+04
22.9746       	2.261344e+04
23.0463       	2.269238e+04
23.1011       	2.269920e+04
23.1668       	2.277104e+04
23.2427       	2.285514e+04
23.2967       	2.285255e+04
23.3577       	2.291218e+04
23.4269       	2.298689e+04
23.4778       	2.298751e+04
23.5388       	2.305474e+04
23.6106       	2.313525e+04
23.6625       	2.313797e+04
23.7201       	2.319942e+04
23.7891       	2.327877e+04
23.8472       	2.330472e+04
23.91         	2.336234e+04
23.98         	2.342774e+04
24.0582       	2.349895e+04
24.1112       	2.349487e+04
24.1719       	2.355647e+04
24.2421       	2.362919e+04
24.3199       	2.370088e+04
24.3681       	2.368694e+04
24.4233       	2.374342e+04
24.4889       	2.381518e+04
24.5596       	2.387904e+04
24.6251       	2.392325e+04
24.6968       	2.399498e+04
24.7796       	2.408870e+04
24.8243       	2.406537e+04
24.8776       	2.413988e+04
24.9393       	2.422577e+04
24.9989       	2.429099e+04
25.0664       	2.438395e+04
25.1412       	2.448461e+04
25.2005       	2.453332e+04
25.259        	2.460822e+04
25.3214       	2.469603e+04
25.3751       	2.475258e+04
25.436        	2.484117e+04
25.496        	2.491359e+04
25.5643       	2.500408e+04
25.6259       	2.506128e+04
25.6858       	2.512167e+04
25.7565       	2.520543e+04
25.8103       	2.522920e+04
25.8654       	2.527978e+04
25.931        	2.534896e+04
25.9988       	2.540177e+04
26.0501       	2.541452e+04
26.1082       	2.546641e+04
26.1742       	2.551962e+04
26.2266       	2.553124e+04
26.2865       	2.557816e+04
26.3552       	2.562864e+04
26.416        	2.564983e+04
26.4729       	2.567528e+04
26.537        	2.572007e+04
26.6123       	2.577318e+04
26.6629       	2.576160e+04
26.7204       	2.580152e+04
26.7847       	2.584697e+04
26.8562       	2.589795e+04
26.923        	2.593019e+04
26.9735       	2.593555e+04
27.0317       	2.599446e+04
27.0976       	2.605844e+04
27.1621       	2.610382e+04
27.2331       	2.616515e+04
27.292        	2.618981e+04
27.358        	2.625255e+04
27.4209       	2.629392e+04
27.4758       	2.632091e+04
27.5374       	2.637966e+04
27.6058       	2.643982e+04
27.6705       	2.648052e+04
27.7334       	2.652592e+04
27.8065       	2.659232e+04
27.8909       	2.666016e+04
27.9315       	2.661443e+04
27.9796       	2.667034e+04
28.0373       	2.672810e+04
28.1027       	2.677963e+04
28.154        	2.678578e+04
28.2136       	2.684002e+04
28.285        	2.689819e+04
28.3403       	2.690168e+04
28.4018       	2.695003e+04
28.4684       	2.699168e+04
28.5322       	2.701633e+04
28.5934       	2.704373e+04
28.6604       	2.708514e+04
28.7348       	2.712523e+04
28.8014       	2.713589e+04
28.8763       	2.718059e+04
28.9325       	2.717732e+04
28.9953       	2.722375e+04
29.067        	2.726818e+04
29.1137       	2.724631e+04
29.1658       	2.728875e+04
29.2254       	2.733051e+04
29.2899       	2.736523e+04
29.3491       	2.738002e+04
29.4142       	2.742296e+04
29.4874       	2.746914e+04
29.5387       	2.745692e+04
29.5964       	2.750731e+04
29.6636       	2.755843e+04
29.7197       	2.756586e+04
29.7758       	2.759882e+04
29.8318       	2.762865e+04
29.8879       	2.765660e+04
29.9439       	2.768275e+04
30            	2.770730e+04
30.0633       	2.774591e+04
30.1391       	2.779267e+04
30.1887       	2.775734e+04
30.2482       	2.780748e+04
30.3145       	2.784738e+04
30.3747       	2.785866e+04
30.4424       	2.790273e+04
30.5189       	2.794849e+04
30.5668       	2.790787e+04
30.6219       	2.795675e+04
30.688        	2.801200e+04
30.7451       	2.801772e+04
30.8089       	2.806211e+04
30.8813       	2.810992e+04
30.9328       	2.808520e+04
30.9913       	2.813177e+04
31.0612       	2.818720e+04
31.1204       	2.818830e+04
31.1847       	2.822737e+04
31.2576       	2.827346e+04
31.309        	2.824851e+04
31.3669       	2.829175e+04
31.436        	2.834489e+04
31.4939       	2.834638e+04
31.5588       	2.838950e+04
31.6322       	2.843525e+04
31.6971       	2.844597e+04
31.7532       	2.845702e+04
31.8166       	2.850406e+04
31.8884       	2.855259e+04
31.9595       	2.858345e+04
32.0045       	2.855996e+04
32.0581       	2.861232e+04
32.1207       	2.866426e+04
32.188        	2.870668e+04
32.2559       	2.874147e+04
32.3311       	2.878867e+04
32.3806       	2.877463e+04
32.4366       	2.882268e+04
32.5035       	2.887447e+04
32.5671       	2.889921e+04
32.6385       	2.894092e+04
32.6952       	2.894406e+04
32.7628       	2.898702e+04
32.8269       	2.900291e+04
32.8986       	2.903098e+04
32.9766       	2.905162e+04
33.0703       	2.907397e+04
33.1133       	2.901749e+04
33.1647       	2.904780e+04
33.2263       	2.907274e+04
33.2947       	2.908531e+04
33.3557       	2.907852e+04
33.4242       	2.908841e+04
33.5064       	2.909512e+04
33.5499       	2.904790e+04
33.602        	2.906477e+04
33.6641       	2.907432e+04
33.7337       	2.907257e+04
33.7882       	2.904858e+04
33.8491       	2.904911e+04
33.9215       	2.904741e+04
33.9762       	2.901897e+04
34.039        	2.901977e+04
34.1135       	2.901786e+04
34.1768       	2.899396e+04
34.2249       	2.897184e+04
34.2815       	2.897836e+04
34.3488       	2.898452e+04
34.4102       	2.897356e+04
34.4838       	2.898470e+04
34.5457       	2.897017e+04
34.6148       	2.898004e+04
34.6928       	2.899262e+04
34.7444       	2.896284e+04
34.8034       	2.898219e+04
34.8736       	2.900541e+04
34.927        	2.899003e+04
34.9874       	2.900938e+04
35.0571       	2.903053e+04
35.1091       	2.901265e+04
35.1673       	2.903002e+04
35.2363       	2.905266e+04
35.2959       	2.904464e+04
35.3526       	2.904560e+04
35.4162       	2.906152e+04
35.4846       	2.907323e+04
35.5384       	2.905519e+04
35.6012       	2.907724e+04
35.6615       	2.908157e+04
35.7293       	2.910327e+04
35.795        	2.911080e+04
35.8587       	2.912039e+04
35.9301       	2.914827e+04
35.9851       	2.913669e+04
36.0441       	2.916364e+04
36.1112       	2.919715e+04
36.1729       	2.920859e+04
36.2292       	2.922065e+04
36.2965       	2.926095e+04
36.3706       	2.929404e+04
36.4256       	2.928561e+04
36.4872       	2.931922e+04
36.5561       	2.935382e+04
36.6165       	2.936360e+04
36.678        	2.938738e+04
36.7353       	2.940190e+04
36.7981       	2.942902e+04
36.8634       	2.944936e+04
36.9331       	2.946981e+04
36.9957       	2.947207e+04
37.061        	2.948716e+04
37.1345       	2.950720e+04
37.1823       	2.947739e+04
37.2386       	2.949850e+04
37.3028       	2.951476e+04
37.3738       	2.952548e+04
37.4225       	2.949469e+04
37.4785       	2.950853e+04
37.5448       	2.952378e+04
37.6062       	2.951617e+04
37.6766       	2.952826e+04
37.7362       	2.951355e+04
37.7942       	2.951451e+04
37.8591       	2.952777e+04
37.9155       	2.951963e+04
37.975        	2.952957e+04
38.0346       	2.953473e+04
38.098        	2.954439e+04
38.1614       	2.954803e+04
38.2295       	2.955684e+04
38.3065       	2.956644e+04
38.3578       	2.953826e+04
38.4144       	2.954850e+04
38.4805       	2.955907e+04
38.5347       	2.954578e+04
38.5958       	2.955152e+04
38.666        	2.955437e+04
38.712        	2.952730e+04
38.7635       	2.953144e+04
38.8224       	2.953356e+04
38.8878       	2.953107e+04
38.9434       	2.951584e+04
39.0095       	2.951591e+04
39.0857       	2.951098e+04
39.1292       	2.947664e+04
39.1804       	2.948129e+04
39.239        	2.948197e+04
39.3024       	2.947878e+04
39.3658       	2.947170e+04
39.4363       	2.946999e+04
39.5067       	2.946287e+04
39.5561       	2.944233e+04
39.6116       	2.944836e+04
39.667        	2.944686e+04
39.7225       	2.944492e+04
39.778        	2.944265e+04
39.8335       	2.944033e+04
39.889        	2.943853e+04
39.9445       	2.943709e+04
40            	2.943582e+04
40.0645       	2.944145e+04
40.1237       	2.943360e+04
40.1899       	2.943733e+04
40.2648       	2.944053e+04
40.3125       	2.941145e+04
40.3692       	2.942111e+04
40.437        	2.942948e+04
40.4896       	2.941098e+04
40.5501       	2.941709e+04
40.6223       	2.942320e+04
40.6784       	2.940155e+04
40.7367       	2.940066e+04
