#Time  flux(inlet1) flux(inlet2) flux(inlet3)
0.1  0.00024525 0.00024525 0.00024525
0.2  0.00024525 0.00024525 0.00024525
0.2125  0.00024525 0.00024525 0.00024525
0.227083  0.00024525 0.00024525 0.00024525
0.241667  0.00024525 0.00024525 0.00024525
0.25625  0.00024525 0.00024525 0.00024525
0.270833  0.00024525 0.00024525 0.00024525
0.285417  0.00024525 0.00024525 0.00024525
0.3  0.00024525 0.00024525 0.00024525
0.316667  0.00024525 0.00024525 0.00024525
0.333333  0.00024525 0.00024525 0.00024525
0.35  0.00024525 0.00024525 0.00024525
0.366667  0.00024525 0.00024525 0.00024525
0.383333  0.00024525 0.00024525 0.00024525
0.4  0.00024525 0.00024525 0.00024525
0.42  0.00024525 0.00024525 0.00024525
0.44  0.00024525 0.00024525 0.00024525
0.46  0.00024525 0.00024525 0.00024525
0.48  0.00024525 0.00024525 0.00024525
0.5  0.00024525 0.00024525 0.00024525
0.52  0.00024525 0.00024525 0.00024525
0.54  0.00024525 0.00024525 0.00024525
0.56  0.00024525 0.00024525 0.00024525
0.58  0.00024525 0.00024525 0.00024525
0.6  0.00024525 0.00024525 0.00024525
0.62  0.00024525 0.00024525 0.00024525
0.64  0.00024525 0.00024525 0.00024525
0.66  0.00024525 0.00024525 0.00024525
0.68  0.00024525 0.00024525 0.00024525
0.7  0.00024525 0.00024525 0.00024525
0.72  0.00024525 0.00024525 0.00024525
0.74  0.00024525 0.00024525 0.00024525
